Moisture (14%) ,Foreign Matter (0.5%),Broken (15%),Red & Chalky grains (7%),Damaged Grain (2%),Discolored grain(2%),Mixed ( lower class) (10%) (Other Grain),Final Value,Grade
13.2,0.2,13.4,5.8,1.4,1.8,7.7,8.542,B
13.1,0.2,13.8,3.9,1.2,1,9.1,8.355,B
13.7,0.2,14.7,4.3,1.6,0.9,9.2,8.793,C
13.2,0.2,14.2,4.9,1.6,0.4,8.9,8.515,B
13.2,0.4,13.2,4.9,1.3,0.3,9.6,8.433,B
13.2,0.3,14.8,3.3,1.2,0.9,9.2,8.479,B
13.4,0.1,14.8,3.1,1.4,0.4,9.1,8.517,B
13.3,0.2,14.6,4.9,1.2,1.6,8.7,8.629,B
13.2,0.1,13.3,2.8,1.5,1.6,8.7,8.3,B
13.5,0.2,13.8,3.4,1.9,1.4,9.2,8.578,B
13.4,0.1,14.2,4.5,1.4,1.5,8.7,8.599,B
13.3,0.1,10.8,3.8,1.5,1.6,8.1,8.17,B
13.3,0,14.2,4.9,1.2,0.8,4.6,8.517,B
13.1,0.2,12.3,4.5,1.5,1.2,4.6,8.273,B
13.2,0.3,12.9,5.9,1.4,1.8,8.2,8.519,B
12.2,0.1,14.3,2.7,1.5,1.5,7.7,7.889,B
13.9,0.1,14.2,2.8,1.6,1.3,9.1,8.734,C
12.5,0.2,13.7,3.3,1.2,1.5,9.2,8.023,B
13.8,0,12.4,3.9,1.3,1.6,8.9,8.555,B
13.9,0.1,14.6,3.5,1.2,1.4,9.6,8.803,C
14,0.1,13.6,5.2,1.8,1.1,9.1,8.896,C
12.4,0.1,13.5,5.8,1.2,1.6,8.7,8.112,B
14,0.2,12.9,5.2,1.7,1.6,8.7,8.86,C
14,0.1,12.4,2.8,1.9,1.5,6.8,8.63,B
13.9,0,14.6,3.2,1.2,1.9,8.1,8.782,C
12.5,0.1,13.3,4.5,1.4,1.5,7.4,8.059,B
11.9,0.2,13.8,3.4,1.5,1.3,6.2,7.75,A
13.6,0.1,14.2,3.9,1.2,1.4,6.1,8.641,B
13.6,0.2,10.8,3.5,0.9,1.7,7.3,8.287,B
12.9,0.1,14.2,4.5,0.6,1.6,5.6,8.305,B
13.5,0.2,12.3,3.5,1.3,1.6,5.8,8.407,B
14,0.4,12.9,3.2,1.2,1.9,5.2,8.742,C
13.6,0.2,14.3,3.2,1.3,1.5,5.2,8.632,B
13.2,0.3,14.2,3.2,1.2,1.3,5.6,8.428,B
13.5,0.3,13.9,4.9,1.6,1.9,5.3,8.715,C
13.5,0.4,13.3,3.5,1.4,1.4,5.4,8.545,B
13.1,0.2,12.7,3.9,0.9,1.2,5.6,8.235,B
13.9,0.3,12.8,3.6,1.3,1.6,3.2,8.684,C
13,0.3,13.9,3.3,1.3,1.2,3.1,8.307,B
13.8,0.1,14.2,3.2,1.4,0.4,9.1,8.664,B
13,0.3,13.6,3.5,1.2,1.2,9.2,8.285,B
13.8,0.2,13.2,3.1,1.9,0.3,8.9,8.603,B
13,0.2,14.9,2.8,0.9,1.6,9.6,8.344,B
